X;BS_date;BS_ID;BS01_01;BS01_02;BS01_03;BS02_01;BS02_02;BS02_03;BS02_04;BS03_01;BS03_02;BS03_03;BS03_04;BS04_01;BS04_02;BS04_03;BS04_04;BS05_01;BS05_02;BS05_03;BS05_04;BS05_05;BS05_06;BS05_07;BS05_08;BS05_09;BS05_10;BS06_01;BS06_03;BS06_02;BS06_04;BS06_05;BS07_01;BS07_02;BS07_03;BS08_01;BS08_02;BS08_03;BS09_01;BS09_02;BS09_03;BS09_04;BS09_05;BS09_06;BS09_07;BS09_08;BS09_09;BS09_10;BS10_01;BS10_02;BS10_03;BS10_04;BS11_01;BS11_02;BS11_03;BS11_04;BS11_05;BS11_06;BS12_01;BS12_02;BS12_03;BS13_01;BS13_02;BS14_01;BS14_02;BS14_03;BS15_01;BS15_02;BS15_03;BS16_01;BS16_02;BS16_03;BS16_04;BS17_01;BS17_02;BS17_03;BS17_04;BS17_05;BS17_06;BS17_07;BS17_08;BS17_09;BS17_10;BS17_11;BS17_12;BS17_13;BS17_14;BS17_15;BS18_01;BS18_02;BS18_03;BS18_04;BS18_05;BS18_06;BS19_01;BS19_02;BS19_03;BS19_04
;2023-05-14;ki38tijo;4;5;5;5;4;5;4;4;3;5;4;5;3;4;4;2;4;2;3;3;4;4;3;3;4;5;4;3;4;5;4;4;5;5;5;5;4;5;3;3;2;2;2;5;5;3;5;5;6;4;5;4;4;3;3;3;5;3;4;5;5;4;3;5;6;4;4;4;4;4;5;8;9;8;7;8;8;9;8;7;8;7;7;6;8;7;6;2;3;3;2;6;5;7;1;7
;2023-05-15;sw3sous1;4;5;6;6;4;4;5;4;6;6;4;2;2;2;4;2;4;4;3;3;2;3;4;5;5;7;6;6;4;2;4;4;4;5;6;5;2;2;2;5;5;2;2;2;7;2;4;5;6;5;6;5;4;4;5;5;4;5;2;4;5;4;6;6;6;4;4;3;2;5;4;4;8;6;9;11;8;9;8;8;7;6;9;8;5;4;7;1;2;5;4;5;6;7;7;7
;2023-05-16;tttjh8g5;6;5;3;5;6;3;2;4;2;5;7;1;1;4;5;1;5;2;3;1;2;4;3;4;2;7;7;5;6;2;6;4;7;5;7;4;2;5;4;2;1;3;6;4;7;3;3;6;6;6;5;5;5;6;5;6;2;1;2;5;7;1;4;5;7;4;5;5;2;7;7;6;11;8;10;11;11;11;8;8;7;6;11;7;11;9;7;3;1;2;3;6;4;7;1;7
;2023-05-17;u84dgoxj;4;4;6;6;4;5;4;5;6;6;4;1;1;1;2;3;4;2;3;4;4;4;4;3;4;2;2;1;3;4;6;4;6;5;5;5;5;3;5;2;2;1;2;3;5;2;4;3;4;5;4;5;4;3;4;4;5;4;5;3;5;4;3;5;6;4;4;3;2;2;3;7;3;8;9;7;8;8;9;7;8;8;5;8;8;7;2;4;5;4;3;3;5;5;1;2
;2023-05-17;ti6i0zmo;4;5;4;2;2;2;3;2;3;3;3;2;2;2;5;3;4;3;4;2;3;3;3;4;5;6;6;6;6;5;4;2;4;6;6;4;5;5;5;5;5;4;5;6;6;4;6;6;5;6;7;6;6;5;6;6;4;4;4;4;4;5;5;4;6;4;4;5;4;5;4;4;4;6;3;4;2;7;6;7;7;6;5;6;8;8;5;2;3;5;2;4;3;4;7;4
;2023-05-18;ki38tijo;5;5;5;5;4;5;4;4;4;5;5;3;2;2;3;2;4;2;3;3;3;4;3;3;4;5;4;4;3;5;4;3;5;3;4;5;5;5;4;3;4;2;3;5;5;4;5;5;4;5;4;5;3;5;2;2;6;3;4;5;4;5;4;3;5;4;3;4;3;4;6;8;8;7;6;7;6;7;8;8;7;7;7;8;6;6;5;2;2;3;1;6;5;6;1;7
;2023-05-18;1yqt7phg;4;5;7;6;5;6;3;7;4;2;1;4;3;2;6;5;3;2;1;1;5;5;5;1;4;6;7;3;1;3;7;6;7;4;7;3;5;1;3;2;4;1;2;3;6;5;3;5;4;2;2;5;2;6;3;4;7;6;7;7;5;7;7;6;5;4;6;3;2;4;6;11;10;10;10;11;11;9;10;11;11;11;7;10;6;11;6;4;3;1;5;2;6;7;7;3
;2023-05-18;07igutj0;6;6;6;6;5;5;5;6;6;6;6;2;2;2;3;3;2;4;2;3;4;5;4;2;3;2;2;1;1;2;7;7;7;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;2;1;1;1;2;1;1;2;2;5;3;5;5;5;5;1;10;10;8;8;10;10;6;6;6;1;2;2;6;2;6;6;1;6
;2023-05-18;2ze615ki;5;5;6;5;4;5;4;6;7;7;6;5;2;4;2;3;2;3;4;4;4;4;4;5;3;3;6;3;3;2;2;1;1;3;4;2;2;1;1;1;2;2;1;2;4;1;2;2;1;2;4;3;2;4;3;3;3;2;2;4;3;4;4;3;3;1;1;2;2;3;2;5;7;5;3;3;3;11;11;9;3;3;5;3;3;9;3;2;3;2;3;5;2;4;1;4
;2023-05-19;imz1sz6d;5;5;6;5;7;6;6;5;5;5;7;2;2;2;2;4;4;5;2;1;5;4;4;2;3;5;4;3;3;2;2;2;5;2;3;3;4;2;2;2;2;1;2;1;1;1;3;3;3;3;1;1;1;1;1;2;3;5;3;2;3;3;2;5;3;2;1;2;2;3;3;2;3;2;4;7;4;6;8;7;6;5;4;6;4;5;3;3;5;4;5;3;4;3;1;7
