X;week_key;WS_date;WS_ID;WS_week;WS_System_Satisfaction_SP;WS_Base_Time_SP;WS_Tracked_Time_SP;WS_Planned_Time_SP;WS_Withdrawal_SP;WS_Overuse_Information_Overload_SP;WS_Cognitive_Well_Being;WS_Affective_Well_Being_Positive;WS_Affective_Well_Being_Negative;WS_Anger_and_Anxiety;WS_Peer_Satisfaction;WS_Partner_Satisfaction;WS_Performance;WS_Venting_Anger;WS_Interpersonal_Conflict_SP;WS_System_Satisfaction_SP;WS_Routine_Use_SP;WS_Innovative_Use_SP;WS_Cognitive_Flexibility_SP;WS_Gratitude_SP;WS_Use_Habit_SP;WS_Addiction_Scale_SP;WS_Problematic_Use_All;WS_Challenge_IS_Use_Appraisal_SP;WS_Hindrance_IS_Use_Appraisal_SP;WS_IT_Identity_SP;WS_IT_Identity_Threat_Self_Worth_SP;WS_IT_Identity_Threat_Self_Efficacy_SP;WS_IT_Identity_Threat_Self_AuthenticitySP;WS_IT_Mindf_red_weekulness_Altertness_to_Distinction_SP;WS_IT_Mindf_red_weekulness_Awareness_of_Multiple_Perspectives_SP;WS_IT_Mindf_red_weekulness_Openness_to_Novelty_SP;WS_IT_Mindf_red_weekulness_Orientation_to_the_Present_SP
;s-0;2023-05-18;s;0;4;NA;NA;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;2ze615ki-0;2023-05-21;2ze615ki;0;3;210;210;160;1.666666667;2.75;4.333333333;4.5;6;2.75;4;4;5;2.666666667;1.333333333;4.333333333;4.666666667;2;1.4;2.25;2.666666667;1.3;3;2.666666667;2;1.833333333;1;1.333333333;1;1;2.5;1.666666667;2
;qq52peh8-1;2023-05-26;qq52peh8;1;3;9;9;9;2.333333333;1.25;3;1.75;2;3.75;3.333333333;7;3;4.666666667;1;6.333333333;5.333333333;1;1;7;5.333333333;1.4;3;3.333333333;1;5.166666667;1;1;3;1;2;1;1
;1yqt7phg-1;2023-05-27;1yqt7phg;1;7;9;9;9;4;2.75;4.666666667;2.25;2;3;6.666666667;7;4.666666667;1;3;4.666666667;6.666666667;1.333333333;2.6;4.75;5.333333333;2.6;5.5;4.333333333;3.666666667;5;1;2.666666667;1;3.333333333;3.5;3.666666667;2.666666667
;7m7bw33l-1;2023-05-28;7m7bw33l;1;5;9;9;9;4.666666667;2.5;6.333333333;7;4.5;2.25;7;7;4;1.666666667;2;6.333333333;4.666666667;2.333333333;1;4.25;6.666666667;2.8;1;5;4;5;1;2.333333333;3;4.333333333;3;3;1
;11otr2gh-1;2023-05-28;11otr2gh;1;2;9;9;9;2;2.5;6;5;5.25;3;5.666666667;6.333333333;6.666666667;1.666666667;1;6;6;3.666666667;3.6;4.75;4.666666667;2.5;2;5.333333333;4.333333333;4.333333333;1;3;1.666666667;4.666666667;4.5;3.333333333;3.666666667
;tso8ntq4-1;2023-05-28;tso8ntq4;1;3;9;9;9;4;3.25;4;4.25;6;2.5;5;5;4.333333333;2.666666667;1;4;5;4.333333333;4.4;5;4.666666667;4.4;3;1.666666667;5;5;5;5;5;5;5;4.333333333;6
;oagsgy8g-1;2023-05-28;oagsgy8g;1;2;9;9;9;2.666666667;6.75;3.666666667;3.75;2;4.25;5.666666667;3.666666667;1;1.333333333;2.333333333;2;7;5.333333333;2.4;3;7;5.3;4.25;3.666666667;4.666666667;6.166666667;1.333333333;7;6.333333333;2.333333333;2.5;2;2.333333333
;9324scyl-1;2023-05-28;9324scyl;1;3;9;9;9;2.333333333;3;5.666666667;5.25;5.75;1.5;6.333333333;6.666666667;5.333333333;1.333333333;2;3.666666667;3.333333333;3.333333333;2.6;1.5;4;3.1;1.25;2.333333333;3.666666667;4.333333333;1.666666667;2.333333333;1.666666667;3.333333333;2;1;1
;judkv65u-1;2023-05-28;judkv65u;1;4;9;9;9;1;3;6;6;5.5;2.25;5;6;6.333333333;1.333333333;2;5;6;4.666666667;3;3.75;3.333333333;1.1;1.5;2;1;3.833333333;1;1;2;4.333333333;7;6;5
;2soy75gc-1;2023-05-28;2soy75gc;1;6;9;9;9;3.666666667;4;5.666666667;5;2.75;6;6;6.333333333;6;6.333333333;1.333333333;7;6;6;5.6;6;5.666666667;2.4;2.5;6;2.333333333;7;1;1;2;6;6;6;6
;gy0dk4ej-1;2023-05-28;gy0dk4ej;1;4;9;9;9;3;3;4.666666667;4.5;5.5;2;6;6;5;1;1;4;5;1;1;2.75;5;2.5;2.5;4;4;4.166666667;2;3;2;2;4;3;2
;110cu3mn-1;2023-05-28;110cu3mn;1;4;9;9;9;1.666666667;2.75;3.333333333;2;2.75;2.25;5.666666667;3.333333333;2;4;2.666666667;5;6;1;1;2;4.333333333;1.4;2.75;1.666666667;1;3.833333333;4;1.333333333;2;1;1;1;1.666666667
;nrg5izie-1;2023-05-28;nrg5izie;1;4;9;9;9;3.333333333;5;5.333333333;6;5.75;2;5.666666667;6;5;1;3;5;4.333333333;2.666666667;3;4;5;3.5;4.5;5;2;3.333333333;1.666666667;2.666666667;1.333333333;3.666666667;2.5;3.333333333;2.666666667
;u84dgoxj-1;2023-05-28;u84dgoxj;1;5;9;9;9;1.666666667;3.75;4.666666667;4;6;2;6;5.666666667;5;1.666666667;2;5.333333333;5.666666667;4;3;3.75;4.666666667;2;1.75;4.333333333;2;3.5;1.666666667;2;2.333333333;2.666666667;4;2.666666667;4
;2ze615ki-1;2023-05-28;2ze615ki;1;3;180;180;120;2;2.25;4;3;3.75;4.5;2.333333333;2;2.333333333;3.666666667;1.666666667;4;4.333333333;2;1.2;2.5;3;1.7;2.25;3.666666667;2;3.166666667;2;3;1;1.666666667;4;2.666666667;2.666666667
;rctqcmqh-1;2023-05-28;rctqcmqh;1;6;9;9;9;4;5;6;6;7;3;7;NA;5;1.333333333;2;4.666666667;7;1;1;2.25;6;2.3;3;3;4.666666667;3.833333333;1;5;3;1;1;1;1
;1hpx6k84-1;2023-05-28;1hpx6k84;1;7;9;9;9;1;3.25;4.333333333;3;5.25;1.75;5;5.666666667;5.333333333;2.666666667;3;6.666666667;7;5.666666667;1.2;4.5;4;4;6;6;2;5.166666667;1;3.333333333;2.333333333;4;3;1;3.333333333
;z4tjfyag-1;2023-05-28;z4tjfyag;1;1;9;9;9;1;7;4;3.5;6.5;2;5.333333333;5.333333333;3.333333333;1;2;4;5;1;1;2;5;2.4;3.5;6;1;1.666666667;1;1;1;1;1;1;4
;pir7k37c-1;2023-05-28;pir7k37c;1;2;9;9;9;2.666666667;2.25;5;5.5;6.75;1.25;6;6;2;1;2.666666667;5.666666667;4.666666667;1.666666667;1.8;5.5;4;1.9;2.75;1.666666667;1.333333333;3.666666667;1.333333333;2;1.333333333;1.666666667;1.5;1;3.666666667
;lckb6r1n-1;2023-05-28;lckb6r1n;1;4;9;9;9;1.333333333;2.5;3.666666667;3.25;4.5;4;6;7;4;3.333333333;1;4;7;2;2;3;5;1.4;1;4;1.333333333;1.666666667;1;1;1;1;7;4;1
;6g12mrih-1;2023-05-28;6g12mrih;1;4;9;9;9;4;3;6.333333333;6;6;1.25;7;7;5;1;1;4.666666667;5;4;4.2;5;4;3.6;3.25;6;1;4;1;3;3;5;6;6;6
;2323358-1;2023-05-28;2323358;1;5;320;200;260;3;2.75;6;6;6.5;1.25;6.666666667;6.666666667;5.333333333;1.666666667;2.333333333;6;4.666666667;4.666666667;6.2;6.25;5.333333333;1.6;3.25;6;1.666666667;4.333333333;1;2.333333333;2;5;6.5;5.666666667;5
