primarykey;ID;date;Communication.ICT;Entertainment;Other;Study...Work.ICT;Social.Media;Communication.ICT_frequency;Entertainment_frequency;Other_frequency;Study...Work.ICT_frequency;Social.Media_frequency;;Communication.ICT_tablet;Entertainment_tablet;Other_tablet;Study...Work.ICT_tablet;Social.Media_tablet;Communication.ICT_frequency_tablet;Entertainment_frequency_tablet;Other_frequency_tablet;Study...Work.ICT_frequency_tablet;Social.Media_frequency_tablet;ST_Communication_PC;ST_Enterteinment_PC;ST_Other_PC;ST_study_work_PC;ST_social_media_PC
0tv2k8fm-2023-08-14;0tv2k8fm;2023-08-14;5520;2640;240;0;240;172;55;4;0;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-15;0tv2k8fm;2023-08-15;6480;3960;0;0;120;138;78;0;0;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-16;0tv2k8fm;2023-08-16;2880;4320;0;120;420;117;50;0;11;15;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-17;0tv2k8fm;2023-08-17;1500;6780;240;0;60;55;87;10;0;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-18;0tv2k8fm;2023-08-18;1800;6300;300;120;0;83;52;7;1;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-19;0tv2k8fm;2023-08-19;3600;3780;360;120;60;117;73;13;11;3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0tv2k8fm-2023-08-20;0tv2k8fm;2023-08-20;2520;4380;1020;0;660;93;40;16;0;8;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-14;0twxijzt;2023-08-14;3240;4080;3600;3120;5640;78;11;110;19;86;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-15;0twxijzt;2023-08-15;2520;4380;3540;420;6360;15;40;43;5;53;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-16;0twxijzt;2023-08-16;1200;5340;4680;0;7500;45;18;31;0;60;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-17;0twxijzt;2023-08-17;600;14940;4620;0;7800;23;46;36;0;68;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-18;0twxijzt;2023-08-18;1620;1380;1320;3960;10380;45;28;20;18;100;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-19;0twxijzt;2023-08-19;2040;480;2460;3000;4020;54;7;44;9;60;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0twxijzt-2023-08-20;0twxijzt;2023-08-20;3660;4500;2700;1200;6540;102;47;102;14;111;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0uf3gr6f-2023-08-14;0uf3gr6f;2023-08-14;1080;300;480;0;0;31;9;6;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0uf3gr6f-2023-08-15;0uf3gr6f;2023-08-15;2460;1620;900;0;0;60;3;7;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0uf3gr6f-2023-08-16;0uf3gr6f;2023-08-16;4380;5280;420;0;0;68;10;2;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0uf3gr6f-2023-08-17;0uf3gr6f;2023-08-17;4380;0;3120;0;0;92;0;42;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2343;30286;5647;303;252
0uf3gr6f-2023-08-18;0uf3gr6f;2023-08-18;4500;300;1860;0;0;92;6;36;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;614;1456;1583;102;4780
0uf3gr6f-2023-08-19;0uf3gr6f;2023-08-19;1800;1380;5760;0;720;43;6;81;0;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;1074;375;0;0
0uf3gr6f-2023-08-20;0uf3gr6f;2023-08-20;2280;360;1020;0;0;80;10;6;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;544;3284;1566;353;1589
0ve8lh5z-2023-08-14;0ve8lh5z;2023-08-14;960;13140;2940;0;1980;25;31;42;0;13;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0ve8lh5z-2023-08-15;0ve8lh5z;2023-08-15;0;720;780;0;4260;0;6;16;0;18;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0ve8lh5z-2023-08-16;0ve8lh5z;2023-08-16;2100;3240;540;0;8100;24;6;8;0;21;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;692;0;110;0;3714
0ve8lh5z-2023-08-17;0ve8lh5z;2023-08-17;3960;2580;1080;0;5340;28;13;20;0;9;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;110;492;0;26
0ve8lh5z-2023-08-18;0ve8lh5z;2023-08-18;960;3660;420;0;1620;19;10;10;0;6;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0ve8lh5z-2023-08-19;0ve8lh5z;2023-08-19;0;1620;720;0;480;0;1;6;0;1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0ve8lh5z-2023-08-20;0ve8lh5z;2023-08-20;600;5160;0;0;7680;10;8;0;0;16;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11u9ixuw-2023-08-14;11u9ixuw;2023-08-14;2640;2760;1860;840;1260;52;14;21;5;5;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3094;6022;3619;0;5849
11u9ixuw-2023-08-15;11u9ixuw;2023-08-15;2340;1980;1020;1200;900;47;8;11;14;4;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3057;8428;2102;0;4410
11u9ixuw-2023-08-16;11u9ixuw;2023-08-16;3600;2160;780;2040;900;62;8;6;8;2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1216;5121;1152;0;3157
11u9ixuw-2023-08-17;11u9ixuw;2023-08-17;4140;600;2100;3240;1740;76;2;14;22;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2165;5732;1526;0;6299
11u9ixuw-2023-08-18;11u9ixuw;2023-08-18;2700;300;2400;1080;900;55;5;34;12;4;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2591;7796;1516;0;17084
11u9ixuw-2023-08-19;11u9ixuw;2023-08-19;1800;8280;3000;780;2220;53;5;35;8;10;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;595;968;4009;0;4952
11u9ixuw-2023-08-20;11u9ixuw;2023-08-20;2640;1080;3180;240;780;48;5;65;1;4;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2124;1426;0;1452
12ruwp83-2023-08-14;12ruwp83;2023-08-14;1320;0;480;0;2160;NA;0;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-15;12ruwp83;2023-08-15;1200;0;2340;0;3240;NA;0;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-16;12ruwp83;2023-08-16;1920;180;1020;0;2700;NA;NA;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-17;12ruwp83;2023-08-17;1860;0;720;0;1800;NA;0;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-18;12ruwp83;2023-08-18;1980;0;1500;0;2520;NA;0;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-19;12ruwp83;2023-08-19;840;60;0;180;2400;NA;NA;0;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12ruwp83-2023-08-20;12ruwp83;2023-08-20;600;180;1920;0;1680;NA;NA;NA;0;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-14;13nfe67c;2023-08-14;4200;6240;6480;0;4380;39;18;21;0;7;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-15;13nfe67c;2023-08-15;3060;1500;1500;0;960;33;1;23;0;11;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-16;13nfe67c;2023-08-16;2460;840;3660;0;540;22;18;39;0;15;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-17;13nfe67c;2023-08-17;6420;5400;4380;0;1680;71;4;36;0;5;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-18;13nfe67c;2023-08-18;5400;2040;2160;0;1260;61;11;26;0;12;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-19;13nfe67c;2023-08-19;3360;4920;2100;0;7500;40;25;10;0;38;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13nfe67c-2023-08-20;13nfe67c;2023-08-20;1380;3060;4140;0;1740;40;14;19;0;12;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1s53kqrd-2023-08-14;1s53kqrd;2023-08-14;1680;4920;480;0;5280;55;30;4;0;41;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1528;4090;1803;4252;20
1s53kqrd-2023-08-15;1s53kqrd;2023-08-15;1260;5220;1680;0;4500;42;25;20;0;19;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1535;4483;3782;6001;0
1s53kqrd-2023-08-16;1s53kqrd;2023-08-16;2700;17400;540;0;5640;77;49;5;0;24;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2752;15116;1508;2668;126
1s53kqrd-2023-08-17;1s53kqrd;2023-08-17;2520;10260;900;0;0;62;70;14;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2829;12704;1962;0;18
1s53kqrd-2023-08-18;1s53kqrd;2023-08-18;1080;19200;1860;0;0;50;60;17;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1106;17828;2598;0;5
1s53kqrd-2023-08-19;1s53kqrd;2023-08-19;1020;13020;1860;0;0;38;33;31;0;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1037;13090;2204;0;96
1s53kqrd-2023-08-20;1s53kqrd;2023-08-20;1920;13620;900;60;0;44;26;23;7;0;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1548;8723;1665;0;181
232utdp4-2023-08-12;232utdp4;2023-08-12;420;1620;1020;0;2520;26;16;29;0;26;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
232utdp4-2023-08-13;232utdp4;2023-08-13;1140;1560;720;4200;2280;54;26;14;25;15;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
